ts_code,name,industry,trade_date,last_close,total_mv,recent_return,rebound_ratio
002080.SZ,中材科技,玻璃,20250625,20.46879805155267,307.43224059,0.10427968655816766,0.2888876487988666
002309.SZ,ST中利,电气设备,20250625,3.48,104.6667554,0.10126582278481,0.2473988439306358
002414.SZ,高德红外,电器仪表,20250625,17.795625491738786,403.1574886,0.11981020166073542,0.3903222580118758
002626.SZ,金达威,医疗保健,20250625,21.932609444798977,124.48768676,0.12803623931893204,0.30157573316183417
601330.SH,绿色动力,环境保护,20250625,8.463154375614554,107.57457491999999,0.056087551299589755,0.39366495736400425
